matchup,lucy_iters,baseline_iters,seed,num_hands,mbb_per_hand_a,mbb_se,ci_low,ci_high,seconds
lucy-cuda-vs-openspiel,1000,1000,1,5000,-427.8,699.2327834549689,-1798.2962555717388,942.6962555717389,48.301469802856445
lucy-cuda-vs-openspiel,1000,1000,2,5000,1086.4,690.9262809202343,-267.81551060365905,2440.6155106036595,48.19515609741211
lucy-cuda-vs-openspiel,1000,1000,3,5000,590.4,700.6433554816831,-782.8609767440988,1963.6609767440987,51.95663857460022
lucy-cuda-vs-openspiel,10000,10000,1,5000,97.3,680.1223196101217,-1235.7397464358387,1430.3397464358386,90.26797485351562
lucy-cuda-vs-openspiel,10000,10000,2,5000,1259.6,684.0590748342902,-81.1557866752089,2600.355786675209,89.65757131576538
lucy-cuda-vs-openspiel,10000,10000,3,5000,637.1,693.1500228793815,-721.4740448435876,1995.6740448435876,92.08802223205566
lucy-cuda-vs-openspiel,100000,100000,1,5000,253.2,685.3765916143716,-1090.1381195641682,1596.5381195641683,100.21772837638855
lucy-cuda-vs-openspiel,100000,100000,2,5000,-270.9,692.2798536967067,-1627.768513245545,1085.9685132455452,89.3799946308136
lucy-cuda-vs-openspiel,100000,100000,3,5000,-472.3,699.29156048005,-1842.911458540898,898.311458540898,88.25834941864014
lucy-cuda-vs-openspiel,1000000,1000000,1,5000,-3133.4,681.8065751064178,-4469.740887208579,-1797.0591127914213,90.05166411399841
lucy-cuda-vs-openspiel,1000000,1000000,2,5000,-3434.3,698.0136908750856,-4802.406834115168,-2066.1931658848325,120.70764470100403
lucy-cuda-vs-openspiel,1000000,1000000,3,5000,-4198.8,675.0026836044057,-5521.805259864635,-2875.794740135365,140.97735023498535
lucy-legacy-vs-openspiel,1000,1000,1,5000,1000.2,684.27524654134,-340.9794832210264,2341.3794832210265,114.1112072467804
lucy-legacy-vs-openspiel,1000,1000,2,5000,430.4,694.7170035503727,-931.2453269587305,1792.0453269587306,120.19074010848999
lucy-legacy-vs-openspiel,1000,1000,3,5000,862.9,704.6515770038335,-518.2170909275136,2244.0170909275134,123.54746580123901
lucy-legacy-vs-openspiel,10000,10000,1,5000,1281.4,678.3375135792886,-48.14152661540561,2610.9415266154056,139.26222133636475
lucy-legacy-vs-openspiel,10000,10000,2,5000,-255.2,681.7887968934572,-1591.506041911176,1081.106041911176,113.70208644866943
lucy-legacy-vs-openspiel,10000,10000,3,5000,85.2,692.2857793022254,-1271.6801274323616,1442.0801274323617,113.75989031791687
lucy-legacy-vs-openspiel,100000,100000,1,5000,-1172.5,685.2192916804638,-2515.5298116937092,170.529811693709,123.5775203704834
lucy-legacy-vs-openspiel,100000,100000,2,5000,-1077.4,683.5622039073285,-2417.1819196583638,262.3819196583636,111.23791074752808
lucy-legacy-vs-openspiel,100000,100000,3,5000,-2420.4,691.5883047661488,-3775.913077341652,-1064.8869226583486,67.23462462425232
lucy-legacy-vs-openspiel,1000000,1000000,1,5000,-3470.6,701.8426372706323,-4846.21156905044,-2094.9884309495606,122.99013233184814
lucy-legacy-vs-openspiel,1000000,1000000,2,5000,-3942.9,682.6049704289163,-5280.805742040676,-2604.9942579593244,71.7965190410614
lucy-legacy-vs-openspiel,1000000,1000000,3,5000,-3263.2,691.0994701886827,-4617.754961569818,-1908.6450384301816,119.29792737960815
lucy-cuda-vs-openspiel,1000,1000,__SEED_POOL__,15000,416.3333333333333,445.69227550457333,-457.22352665563045,1289.8901933222971,148.45326447486877
lucy-cuda-vs-openspiel,10000,10000,__SEED_POOL__,15000,664.6666666666666,335.81009679744756,6.478876943669434,1322.854456389664,272.01356840133667
lucy-cuda-vs-openspiel,100000,100000,__SEED_POOL__,15000,-163.33333333333334,216.22943319025228,-587.1430223862278,260.47635571956107,277.8560724258423
lucy-cuda-vs-openspiel,1000000,1000000,__SEED_POOL__,15000,-3588.8333333333335,317.1118116865266,-4210.372484238926,-2967.2941824277414,351.7366590499878
lucy-legacy-vs-openspiel,1000,1000,__SEED_POOL__,15000,764.5,171.68763302385335,427.99223927324743,1101.0077607267526,357.8494131565094
lucy-legacy-vs-openspiel,10000,10000,__SEED_POOL__,15000,370.4666666666667,465.9462391497305,-542.7879620668051,1283.7212954001384,366.72419810295105
lucy-legacy-vs-openspiel,100000,100000,__SEED_POOL__,15000,-1556.7666666666667,432.68845733519527,-2404.8360430436496,-708.6972902896839,302.0500557422638
lucy-legacy-vs-openspiel,1000000,1000000,__SEED_POOL__,15000,-3558.9,201.11828194705066,-3953.0918326162196,-3164.7081673837806,314.0845787525177
