matchup,lucy_iters,baseline_iters,seed,num_hands,mbb_per_hand_a,mbb_se,ci_low,ci_high,seconds
v3-baseline-vs-openspiel,1000,1000,1,5000,-774.4,664.778454835598,-2077.365771477772,528.565771477772,412.32383012771606
v3-baseline-vs-openspiel,1000,1000,2,5000,1424.9,663.5840953011265,124.27517320979223,2725.524826790208,430.7297055721283
v3-baseline-vs-openspiel,1000,1000,3,5000,-552.4,675.163120876664,-1875.7197169182614,770.9197169182615,414.13628935813904
v3-dcfr-os-vs-openspiel,1000,1000,1,5000,-77.7,648.8781181461458,-1349.5011115664456,1194.1011115664455,56.002511501312256
v3-dcfr-os-vs-openspiel,1000,1000,2,5000,28.0,639.57255070793,-1225.5621993875427,1281.5621993875427,56.86647272109985
v3-dcfr-os-vs-openspiel,1000,1000,3,5000,1007.9,648.894930546044,-263.9340638702462,2279.7340638702462,62.167847871780396
v3-dcfr-os-vs-openspiel,10000,10000,1,5000,-1438.7,659.1716998293709,-2730.6765316655674,-146.72346833443294,102.90543794631958
v3-dcfr-os-vs-openspiel,10000,10000,2,5000,192.8,672.012047020391,-1124.3436121599664,1509.9436121599663,128.63285541534424
v3-dcfr-os-vs-openspiel,10000,10000,3,5000,-961.0,665.7994045798296,-2265.966832976466,343.96683297646587,127.64452481269836
v3-dcfr-os-vs-openspiel,100000,100000,1,5000,-1306.4,670.0074563858562,-2619.6146145162784,6.814614516278198,351.9502947330475
v3-dcfr-os-vs-openspiel,100000,100000,2,5000,-1715.2,675.7049847933563,-3039.581770194978,-390.8182298050217,363.5593149662018
v3-dcfr-os-vs-openspiel,100000,100000,3,5000,-992.2,675.3604373607777,-2315.9064572271245,331.5064572271242,360.0052580833435
v3-dcfr-os-vs-openspiel,1000000,1000000,1,5000,-2661.6,663.985470366591,-3963.011521918518,-1360.1884780814814,802.8315877914429
v3-dcfr-os-vs-openspiel,1000000,1000000,2,5000,-3756.7,663.5939080446094,-5057.344059767434,-2456.0559402325653,1158.7588217258453
v3-dcfr-os-vs-openspiel,1000000,1000000,3,5000,-2599.7,644.5511557983405,-3863.020265364747,-1336.3797346352526,971.7427625656128
v3-dcfr-vs-openspiel,1000,1000,1,5000,-77.7,648.8781181461458,-1349.5011115664456,1194.1011115664455,254.0329554080963
v3-dcfr-vs-openspiel,1000,1000,2,5000,28.0,639.57255070793,-1225.5621993875427,1281.5621993875427,283.07336688041687
v3-dcfr-vs-openspiel,1000,1000,3,5000,1007.9,648.894930546044,-263.9340638702462,2279.7340638702462,298.9421796798706
v3-dcfr-vs-openspiel,10000,10000,1,5000,-1438.7,659.1716998293709,-2730.6765316655674,-146.72346833443294,1672.183213710785
v3-dcfr-vs-openspiel,10000,10000,2,5000,192.8,672.012047020391,-1124.3436121599664,1509.9436121599663,1400.9447803497314
v3-dcfr-vs-openspiel,10000,10000,3,5000,-961.0,665.7994045798296,-2265.966832976466,343.96683297646587,1371.7035405635834
v3-dcfr-vs-openspiel,1000000,1000000,2,5000,-3756.7,663.5939080446094,-5057.344059767434,-2456.0559402325653,2431.9983999729156
v3-os-vs-openspiel,1000,1000,1,5000,-77.7,648.8781181461458,-1349.5011115664456,1194.1011115664455,63.77141237258911
v3-os-vs-openspiel,1000,1000,2,5000,28.0,639.57255070793,-1225.5621993875427,1281.5621993875427,69.48658967018127
v3-os-vs-openspiel,1000,1000,3,5000,1007.9,648.894930546044,-263.9340638702462,2279.7340638702462,59.813870429992676
v3-os-vs-openspiel,10000,10000,1,5000,-1438.7,659.1716998293709,-2730.6765316655674,-146.72346833443294,129.60257053375244
v3-os-vs-openspiel,10000,10000,2,5000,192.8,672.012047020391,-1124.3436121599664,1509.9436121599663,128.17184376716614
v3-os-vs-openspiel,10000,10000,3,5000,-961.0,665.7994045798296,-2265.966832976466,343.96683297646587,129.50045371055603
v3-os-vs-openspiel,100000,100000,1,5000,-1306.4,670.0074563858562,-2619.6146145162784,6.814614516278198,283.40583324432373
v3-os-vs-openspiel,100000,100000,2,5000,-1715.2,675.7049847933563,-3039.581770194978,-390.8182298050217,415.6273410320282
v3-os-vs-openspiel,100000,100000,3,5000,-992.2,675.3604373607777,-2315.9064572271245,331.5064572271242,383.95263957977295
v3-os-vs-openspiel,1000000,1000000,1,5000,-2661.6,663.985470366591,-3963.011521918518,-1360.1884780814814,895.5994720458984
v3-os-vs-openspiel,1000000,1000000,2,5000,-3756.7,663.5939080446094,-5057.344059767434,-2456.0559402325653,1318.8267629146576
v3-os-vs-openspiel,1000000,1000000,3,5000,-2599.7,644.5511557983405,-3863.020265364747,-1336.3797346352526,791.1554951667786
v3-v2bucket-vs-openspiel,1000,1000,1,5000,-77.7,648.8781181461458,-1349.5011115664456,1194.1011115664455,322.13376212120056
v3-v2bucket-vs-openspiel,1000,1000,2,5000,28.0,639.57255070793,-1225.5621993875427,1281.5621993875427,366.1208744049072
v3-v2bucket-vs-openspiel,1000,1000,3,5000,1007.9,648.894930546044,-263.9340638702462,2279.7340638702462,348.6696836948395
v3-v2bucket-vs-openspiel,10000,10000,1,5000,-1438.7,659.1716998293709,-2730.6765316655674,-146.72346833443294,1424.2372887134552
v3-v2bucket-vs-openspiel,10000,10000,2,5000,192.8,672.012047020391,-1124.3436121599664,1509.9436121599663,2023.946997642517
v3-v2bucket-vs-openspiel,10000,10000,3,5000,-961.0,665.7994045798296,-2265.966832976466,343.96683297646587,1409.2297749519348
v3-v2bucket-vs-openspiel,1000000,1000000,3,5000,-2599.7,644.5511557983405,-3863.020265364747,-1336.3797346352526,2300.9656744003296
v3-baseline-vs-openspiel,1000,1000,__SEED_POOL__,15000,32.700000000000045,699.0437826059251,-1337.4258139076132,1402.8258139076133,1257.1898250579834
