matchup,lucy_iters,baseline_iters,seed,num_hands,mbb_per_hand_a,mbb_se,ci_low,ci_high,seconds
v4-baseline-vs-openspiel,1000,1000,1,5000,115.6,678.9511208517167,-1215.1441968693648,1446.3441968693646,330.0179009437561
v4-baseline-vs-openspiel,1000,1000,2,5000,973.9,656.4983576166976,-312.8367809287273,2260.636780928727,330.18000984191895
v4-baseline-vs-openspiel,1000,1000,3,5000,-515.0,658.8954296964807,-1806.4350422051023,776.4350422051023,297.96010184288025
v4-v2-vs-openspiel,1000,1000,1,5000,40.8,662.4530562724472,-1257.6079902939964,1339.2079902939963,307.6372640132904
v4-v2-vs-openspiel,1000,1000,2,5000,-29.2,661.2056534168806,-1325.1630806970861,1266.763080697086,245.98848414421082
v4-v2-vs-openspiel,1000,1000,3,5000,537.4,664.8491785872246,-765.7043900309603,1840.5043900309602,242.98227787017822
v4-v2-vs-openspiel,10000,10000,1,5000,895.7,669.6532780544896,-416.8204249867997,2208.2204249868,513.2657675743103
v4-v2-vs-openspiel,10000,10000,2,5000,1186.5,690.4550444216821,-166.79188706649688,2539.791887066497,591.3801538944244
v4-v2-vs-openspiel,10000,10000,3,5000,629.2,674.6557100290711,-693.1251916569793,1951.5251916569794,580.6481130123138
v4-v2-vs-openspiel,100000,100000,1,5000,-218.3,651.2354958941082,-1494.721571952452,1058.121571952452,744.6849479675293
v4-v2-vs-openspiel,100000,100000,2,5000,-84.8,655.8868794414548,-1370.3382837052513,1200.7382837052514,740.1492938995361
v4-v2-vs-openspiel,100000,100000,3,5000,210.8,646.5218647134999,-1056.3828548384597,1477.9828548384596,558.6413362026215
v4-v2-vs-openspiel,1000000,1000000,1,5000,-988.4,520.710766219427,-2008.993101790077,32.19310179007698,575.0554869174957
v4-v2-vs-openspiel,1000000,1000000,2,5000,-1480.8,487.9092074370812,-2437.102046576679,-524.4979534233208,495.45047879219055
v4-v2-vs-openspiel,1000000,1000000,3,5000,-1359.0,519.0133693374578,-2376.266203901417,-341.73379609858273,495.79374742507935
v4-v3-os-vs-openspiel,1000,1000,1,5000,115.1,669.6130998400427,-1197.3416756864838,1427.5416756864836,61.49599361419678
v4-v3-os-vs-openspiel,1000,1000,2,5000,-403.8,649.4656422569163,-1676.752658823556,869.1526588235561,64.9813141822815
v4-v3-os-vs-openspiel,1000,1000,3,5000,210.6,664.7122505313127,-1092.236011041373,1513.436011041373,64.61540818214417
v4-v3-os-vs-openspiel,10000,10000,1,5000,213.5,690.5658328992445,-1140.0090324825192,1567.0090324825192,98.1919641494751
v4-v3-os-vs-openspiel,10000,10000,2,5000,223.7,680.0176784034196,-1109.1346496707024,1556.5346496707025,96.39368987083435
v4-v3-os-vs-openspiel,10000,10000,3,5000,-456.7,688.6664974150149,-1806.4863349334291,893.086334933429,96.86991834640503
v4-v3-os-vs-openspiel,100000,100000,1,5000,-1926.5,675.503227930391,-3250.486326743566,-602.5136732564338,226.27861881256104
v4-v3-os-vs-openspiel,100000,100000,2,5000,-1022.9,683.1146598422525,-2361.804733290815,316.0047332908149,221.24967002868652
v4-v3-os-vs-openspiel,100000,100000,3,5000,-790.3,678.2516129462471,-2119.673161374644,539.0731613746443,200.3001730442047
v4-v3-os-vs-openspiel,1000000,1000000,1,5000,-2476.8,646.6209957841421,-3744.177151736919,-1209.4228482630817,397.1032292842865
v4-v3-os-vs-openspiel,1000000,1000000,2,5000,-2814.1,630.21308609831,-4049.3176487526875,-1578.8823512473123,400.8212859630585
v4-v3-os-vs-openspiel,1000000,1000000,3,5000,-2496.2,630.709435461998,-3732.390493505516,-1260.0095064944837,431.5103497505188
v4-v3-vs-openspiel,1000,1000,1,5000,-602.7,661.699168353535,-1899.6303699729287,694.2303699729287,132.35125160217285
v4-v3-vs-openspiel,1000,1000,2,5000,-192.9,680.5487377622471,-1526.7755260140045,1140.9755260140043,213.57244992256165
v4-v3-vs-openspiel,1000,1000,3,5000,-440.2,671.5854229926007,-1756.5074290654973,876.1074290654972,176.02291703224182
v4-v3-vs-openspiel,10000,10000,1,5000,-50.9,666.3689313714129,-1356.9831054879694,1255.1831054879692,431.4714653491974
v4-v3-vs-openspiel,10000,10000,2,5000,47.8,693.11842518038,-1310.7121133535447,1406.3121133535446,434.33364057540894
v4-v3-vs-openspiel,10000,10000,3,5000,400.1,690.7791458399211,-953.8271258462452,1754.0271258462453,433.9435040950775
v4-v3-vs-openspiel,100000,100000,1,5000,-936.7,667.5938135153274,-2245.1838744900415,371.7838744900416,454.9795067310333
v4-v3-vs-openspiel,100000,100000,2,5000,-342.3,659.3438981551386,-1634.6140403840716,950.0140403840717,452.11131715774536
v4-v3-vs-openspiel,100000,100000,3,5000,-205.8,661.9609924203952,-1503.2435451439744,1091.6435451439745,506.1699023246765
v4-v3-vs-openspiel,1000000,1000000,1,5000,-843.4,615.8321120663495,-2050.430939650045,363.630939650045,525.1076571941376
v4-v3-vs-openspiel,1000000,1000000,2,5000,-1556.9,593.9260174480326,-2720.994994198144,-392.8050058018564,638.1807579994202
v4-v3-vs-openspiel,1000000,1000000,3,5000,-1397.4,602.8943372837163,-2579.0729010760842,-215.72709892391617,488.3768677711487
v4-baseline-vs-openspiel,1000,1000,__SEED_POOL__,15000,191.5,431.4805557612069,-654.2018892919656,1037.2018892919655,958.1580126285553
v4-v2-vs-openspiel,1000,1000,__SEED_POOL__,15000,183.0,178.3484604176143,-166.56298241852403,532.562982418524,796.6080260276794
v4-v2-vs-openspiel,10000,10000,__SEED_POOL__,15000,903.7999999999998,160.9296222991073,588.3779402937496,1219.22205970625,1685.2940344810486
v4-v2-vs-openspiel,100000,100000,__SEED_POOL__,15000,-30.76666666666667,126.78249528665664,-279.26035742851366,217.72702409518033,2043.475578069687
v4-v2-vs-openspiel,1000000,1000000,__SEED_POOL__,15000,-1276.0666666666666,148.06855769466313,-1566.2810397482062,-985.8522935851269,1566.2997131347656
